s2_mgrs_tile,station_count,min_station_lon,min_station_lat,max_station_lon,max_station_lat,tile_min_lon,tile_min_lat,tile_max_lon,tile_max_lat,bbox_source,bbox_adjusted_with_station_extent,station_share_pct,chl_a_mean,chl_a_median,chl_a_min,chl_a_max,chl_a_non_null_count
35VMK,336,25.25452363987298,62.23184105498709,26.75808720604984,63.06315676128889,25.076789152670145,62.2184397371239,26.999980169880537,63.1293307366854,mgrs,False,1.733,12.5625,11.5,9.5,20.0,48
35VNK,312,27.283702054744683,62.85179822821589,27.432628122752828,63.12479397420693,27.0,62.23177006416561,28.982281584543124,63.11548117710186,mgrs,False,1.609,50.5,50.5,26.0,75.0,12
35VML,306,26.38240528354664,63.37357965354919,26.93740523239453,63.742509416807785,25.01769799513245,63.11548986996536,26.99997953559759,64.02678594742031,mgrs,False,1.578,14.75,14.75,4.5,25.0,12
35VMH,282,25.25637384989196,60.59561650945124,25.298091760085416,60.62436493571757,25.183728785717367,60.42389879597834,26.999981314308513,61.334074407696875,mgrs,False,1.455,,,,,0
34WEB,276,21.414404465878505,68.74816946041464,21.414404465878505,68.74816946041464,21.0,68.51245275527201,23.54619720579561,69.39061812757802,mgrs,False,1.424,,,,,0
35VLL,276,24.444744260571213,63.446295316660354,24.444744260571213,63.446295316660354,23.03964799700062,63.073996602879006,24.95432563426467,64.0123832424077,mgrs,False,1.424,,,,,0
35VPL,276,29.15793572479569,63.860466448961965,29.15793572479569,63.860466448961965,28.98230200486755,63.11548986996536,31.086582982690786,63.96923869878518,mgrs,False,1.424,,,,,0
35WNL,276,28.02980239093128,64.01733042962123,28.03891357340772,64.0202631810416,27.0,63.12933971180665,29.045633484087084,64.01238381829789,mgrs,False,1.424,,,,,0
35VPK,270,29.030807202887047,62.67125475202069,29.030807202887047,62.67125475202069,28.92321084732986,62.2184397371239,30.960331039028823,63.07398820180717,mgrs,False,1.393,,,,,0
35WMM,264,25.57018144072545,64.80265471380544,25.57018144072545,64.80265471380544,24.95434541879404,64.01239249864045,26.999978854045928,64.92412942405313,mgrs,False,1.362,,,,,0
35VPJ,174,28.9202989306627,61.41234231212037,29.399668855924936,61.96769745013646,28.867983665869048,61.321242625339345,30.842545409867398,62.178491682283465,mgrs,False,0.898,3.238888888888889,2.1,1.1,14.0,108
34VEM,36,22.52756437002117,60.136825315683055,22.52756437002117,60.136825315683055,21.0,59.53834912845794,22.816252561653116,60.42389006930137,mgrs,False,0.186,14.25,14.5,12.0,16.0,24
34VFQ,36,23.739019448386987,62.28604121490783,23.739019448386987,62.28604121490783,22.923210847329855,62.2184397371239,24.960331039028826,63.07398820180717,mgrs,False,0.186,3.4000000000000004,3.1000000000000005,1.0,6.400000000000001,24
35VNJ,36,27.790392466978936,62.03306896914978,27.790392466978936,62.03306896914978,27.0,61.3340833851585,28.923191057132307,62.2184310324064,mgrs,False,0.186,35.0,31.5,28.0,49.0,24
35VLK,30,24.78634781834036,62.53824039236851,24.787110305214544,62.78385616709837,23.15743429039063,62.17850010643035,25.017678797832207,63.11548062329622,mgrs,False,0.155,16.650000000000002,16.65,7.3,26.0,12
34VFR,6,23.139869131917827,63.62023943882301,23.139869131917827,63.62023943882301,22.982302004867545,63.11548986996536,25.08658298269079,63.96923869878518,mgrs,False,0.031,,,,,0
